iter,rel_res
0,4364.9109033426475
1,0.8373919126902506
2,0.2573679959679548
3,0.13208340092723467
4,0.05521235368674757
5,0.026252573644839166
6,0.011830611458584744
7,0.005537315514488524
8,0.002567682611653769
9,0.0012112884863501776
10,0.000577027402829073
11,0.0002827780948010923
12,0.00014612902745833007
13,8.368218879100216e-05
14,5.5446584335638515e-05
15,4.2162131710976165e-05
16,3.505136390066546e-05
17,3.056148578978497e-05
18,2.732382486553895e-05
19,2.4776157191482942e-05
20,2.265599565837396e-05
21,2.0825116058370882e-05
22,1.920434014625268e-05
23,1.774565823545312e-05
24,1.6418565626361908e-05
25,1.520272747155411e-05
26,1.4083850332529042e-05
27,1.3051307666086939e-05
28,1.2096759701683737e-05
29,1.1213345267987932e-05
30,1.0395204298080773e-05
31,9.637191934829281e-06
32,8.934703868790357e-06
33,8.283566472211082e-06
34,7.679964901073432e-06
35,7.1203936708522386e-06
36,6.60162073893659e-06
37,6.120659896893088e-06
38,5.674748445394523e-06
39,5.261328374862856e-06
40,4.87802999678995e-06
41,4.522657386842455e-06
42,4.193175245190385e-06
43,3.887696919111977e-06
44,3.604473414941171e-06
45,3.34188327803363e-06
46,3.098423249244228e-06
47,2.8726996242319663e-06
48,2.6634202552747026e-06
49,2.4693871418604435e-06
50,2.289489567403711e-06
