N,V-Cycles,CPU Time(s),Error e_N,nu1,nu2,L,InitialRelRes,FinalRelRes,ResidualFile
64,20,0.023081541061401367,0.001495079513207947,2,2,6,1.0,6.401585083094237e-09,residuals_v_cycle_nu2_L2_N64.csv
128,22,0.0627126693725586,0.0003736315221894879,2,2,7,1.0,4.984514085080698e-09,residuals_v_cycle_nu2_L2_N128.csv
256,22,0.2359790802001953,9.340468818347005e-05,2,2,8,1.0,9.832356201614772e-09,residuals_v_cycle_nu2_L2_N256.csv
512,23,1.1754345893859863,2.333696084094874e-05,2,2,9,1.0,7.375296250286469e-09,residuals_v_cycle_nu2_L2_N512.csv
1024,28,10.287266969680786,5.856936059396904e-06,2,2,10,1.0,5.8460703510047365e-09,residuals_v_cycle_nu2_L2_N1024.csv
2048,34,49.84867835044861,1.4982379236449958e-06,2,2,11,1.0,9.228727849614611e-09,residuals_v_cycle_nu2_L2_N2048.csv
