N,Iters,CPU(s),Error,alpha,tau,eps,nu1,nu2,L,InitialRelRes,FinalRelRes,ResidualFile,PCG_Iters
64,4,0.030017614364624023,0.0014950796452728517,1.0,0.001,1e-08,4,4,5,1.0,8.032650388589294e-10,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha1_nu4_L4_N64.csv,"5,2,1,1"
128,4,0.06877446174621582,0.0003736305818817573,1.0,0.001,1e-08,4,4,6,1.0,2.4173011032647283e-09,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha1_nu4_L4_N128.csv,"6,2,1,1"
256,4,0.2639925479888916,9.340135666384112e-05,1.0,0.001,1e-08,4,4,7,1.0,4.575777731140919e-09,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha1_nu4_L4_N256.csv,"8,2,1,1"
512,4,1.4320640563964844,2.335258931365734e-05,1.0,0.001,1e-08,4,4,8,1.0,6.432790021491133e-09,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha1_nu4_L4_N512.csv,"11,2,1,1"
1024,3,9.960322856903076,5.838034774293587e-06,1.0,0.001,1e-08,4,4,9,1.0,7.794322046354391e-09,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha1_nu4_L4_N1024.csv,"18,3,1"
2048,3,85.01582503318787,1.460926335542028e-06,1.0,0.001,1e-08,4,4,10,1.0,6.454752570216346e-09,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha1_nu4_L4_N2048.csv,"42,3,1"
