iter,rel_res
0,1.0
1,0.012695935545481169
2,0.0046076254925855094
3,0.0019558156823041837
4,0.0009280289574151915
5,0.0005286955037617965
6,0.00036079616027053125
7,0.00027041920822760827
8,0.00020827120207443796
9,0.0001605615173883407
10,0.00012297603165053385
11,9.345909783285704e-05
12,7.0517446600707e-05
13,5.2879685341895756e-05
14,3.9449982348518124e-05
15,2.930688462816046e-05
16,2.1696845064036082e-05
17,1.6018055297395252e-05
18,1.1798894305687289e-05
19,8.675229516301478e-06
20,6.369177310176242e-06
21,4.670612141057924e-06
22,3.421795536129847e-06
23,2.504992831705559e-06
24,1.8327228076368515e-06
25,1.3402286520605616e-06
26,9.797065023091077e-07
27,7.159494411728705e-07
28,5.230769495339483e-07
29,3.820914055502446e-07
30,2.790656668690765e-07
31,2.037957676697064e-07
32,1.488151375318212e-07
33,1.0866009529193238e-07
34,7.933515435221454e-08
35,5.7923531812862066e-08
36,4.228912946832255e-08
37,3.087453559880914e-08
38,2.2539941034873074e-08
39,1.6455946807508548e-08
40,1.2013942388982408e-08
41,8.771667607690944e-09
