iter,rel_res
0,1.0
1,0.3973807910380958
2,0.21238428129542683
3,0.12307481649173922
4,0.07267975986725318
5,0.04258873564029713
6,0.025107252997937896
7,0.01479030756650106
8,0.008708410896345045
9,0.005128436356239759
10,0.003022016190744628
11,0.0017792418703882506
12,0.0010482239215422445
13,0.0006175253842499014
14,0.0003636591236981801
15,0.00021424491805443815
16,0.00012621902989689383
17,7.433998755992891e-05
18,4.379650285261605e-05
19,2.5802948591035272e-05
20,1.5199200390367524e-05
21,8.954471399507629e-06
22,5.275712912433502e-06
23,3.1079482551715968e-06
24,1.831048692780064e-06
25,1.0788149995984057e-06
26,6.355765367156679e-07
27,3.7445782234379243e-07
28,2.2062423229402718e-07
29,1.2998451438782676e-07
30,7.658350419834879e-08
31,4.5121958401643315e-08
32,2.6584988151884382e-08
33,1.5663431426341234e-08
34,9.228727849614611e-09
