N,Iters,CPU(s),Error,InitialRelRes,FinalRelRes,ResidualFile
64,200,1.6381545066833496,0.07577180880795643,1.0,1.2782797532882577,residuals_inexact_uzawa_N64.csv
128,200,3.7357053756713867,0.02782299315009022,1.0,1.8246592922248244,residuals_inexact_uzawa_N128.csv
