N,Iters,CPU Time(s),Error e_N,InitialRelRes,FinalRelRes,ResidualFile
64,41,0.7016727924346924,0.043748244757238465,1.0,8.771667607690944e-09,residuals_uzawa_N64.csv
128,46,30.833245515823364,0.022050816901567988,1.0,8.355640495449714e-09,residuals_uzawa_N128.csv
256,50,65.43540000915527,0.011072155723320826,1.0,9.14153482443252e-09,residuals_uzawa_N256.csv
512,54,550.3288087844849,0.005548085841290117,1.0,8.956266666079574e-09,residuals_uzawa_N512.csv
