N,V-Cycles,CPU Time(s),Error e_N,InitialRelRes,FinalRelRes,ResidualFile
64,50,0.7887771129608154,0.045487010964567046,4364.9109033426475,2.289489567341735e-06,residuals_v_cycle_N64.csv
128,50,1.9686124324798584,0.02423425917593867,8741.243938647764,7.286015913833734e-06,residuals_v_cycle_N128.csv
256,50,6.998708009719849,0.0136560452263413,17493.898851218615,1.5408355548615e-05,residuals_v_cycle_N256.csv
512,50,29.117170810699463,0.00869992566520247,34999.20311007701,9.227754460320082e-05,residuals_v_cycle_N512.csv
1024,50,141.83918642997742,0.006079599440370342,70009.80884782645,0.005318328690354786,residuals_v_cycle_N1024.csv
