N,Iters,CPU(s),Error,alpha,tau,eps,nu1,nu2,L,InitialRelRes,FinalRelRes,ResidualFile,PCG_Iters
64,6,0.03251481056213379,0.0014950791216678829,0.95,0.001,1e-08,4,4,5,1.0,1.3456270497799035e-09,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha0p95_nu4_L4_N64.csv,"5,2,2,2,1,1"
128,6,0.15412116050720215,0.0003736289059521628,0.95,0.001,1e-08,4,4,6,1.0,1.1499732241460846e-09,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha0p95_nu4_L4_N128.csv,"6,2,2,2,1,1"
256,5,0.42592453956604004,9.339559944422041e-05,0.95,0.001,1e-08,4,4,7,1.0,9.457864180000261e-09,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha0p95_nu4_L4_N256.csv,"8,2,2,2,1"
512,5,1.7731773853302002,2.334640238002108e-05,0.95,0.001,1e-08,4,4,8,1.0,6.558576760056996e-09,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha0p95_nu4_L4_N512.csv,"11,2,2,2,1"
1024,5,12.620771408081055,5.835849853847787e-06,0.95,0.001,1e-08,4,4,9,1.0,5.0969048300711655e-09,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha0p95_nu4_L4_N1024.csv,"18,3,3,2,1"
2048,5,94.77664613723755,1.464751368546128e-06,0.95,0.001,1e-08,4,4,10,1.0,3.606052238404667e-09,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha0p95_nu4_L4_N2048.csv,"42,3,3,2,1"
