n,time_s,sweeps,rotations,converged,max_eig_err,residual,ortho_err
50,0.5988004000391811,14,6187,True,5.3290705182007514e-14,2.2529415042088467e-13,4.637519950791269e-14
60,1.1021833000704646,15,10541,True,7.37188088351104e-14,8.919799666007715e-15,7.38944278008424e-14
70,1.5942866000114009,15,12111,True,7.549516567451064e-14,1.884728059631065e-12,9.245065111520694e-14
80,2.804959399974905,16,18978,True,9.237055564881302e-14,1.1106002980274681e-14,1.1040431064145236e-13
90,3.8122051000827923,16,23700,True,1.0391687510491465e-13,1.4160027570272717e-14,1.448651937621682e-13
100,5.445767799974419,16,29209,True,1.1368683772161603e-13,1.5290911019972835e-14,1.5610154855129665e-13
