N,V-Cycles,CPU Time(s),Error e_N,nu1,nu2,L,InitialRelRes,FinalRelRes,ResidualFile
64,50,1.4979405403137207,0.045487010964568156,3,3,6,4364.9109033426475,2.289489567403711e-06,residuals_v_cycle_N64.csv
128,50,5.010557174682617,0.02423425917593982,3,3,7,8741.243938647764,7.286015913363149e-06,residuals_v_cycle_N128.csv
256,50,10.222533941268921,0.013656045226341989,3,3,8,17493.898851218615,1.540835554934339e-05,residuals_v_cycle_N256.csv
