iter,rel_res
0,1.0
1,1.249402393417676
2,1.312037190078261
3,1.315313992043605
4,1.3153523889087309
5,1.3152192868390717
6,1.3150767533419931
7,1.3149333461664252
8,1.3147895164174646
9,1.31464528686684
10,1.3145006576461467
11,1.314355627687674
12,1.3142101958574837
13,1.314064361015267
14,1.3139181220174971
15,1.3137714777175977
16,1.3136244269659403
17,1.313476968609842
18,1.3133291014935617
19,1.3131808244582932
20,1.313032136342164
21,1.312883035980226
22,1.3127335222044563
23,1.3125835938437451
24,1.3124332497238982
25,1.312282488667626
26,1.312131309494549
27,1.3119797110211813
28,1.3118276920609317
29,1.311675251424103
30,1.3115223879178786
31,1.3113691003463277
32,1.3112153875103918
33,1.3110612482078896
34,1.3109066812335082
35,1.3107516853787968
36,1.3105962594321632
37,1.3104404021788771
38,1.3102841124010547
39,1.3101273888776628
40,1.3099702303845142
41,1.3098126356942557
42,1.3096546035763794
43,1.3094961327972008
44,1.3093372221198702
45,1.309177870304361
46,1.309018076107469
47,1.3088578382828089
48,1.308697155580806
49,1.308536026748698
50,1.3083744505305333
51,1.3082124256671597
52,1.308049950896231
53,1.3078870249521917
54,1.307723646566286
55,1.3075598144665497
56,1.3073955273778024
57,1.307230784021648
58,1.3070655831164846
59,1.3068999233774747
60,1.3067338035165637
61,1.3065672222424713
62,1.3064001782606887
63,1.3062326702734754
64,1.3060646969798526
65,1.3058962570756099
66,1.3057273492532981
67,1.3055579722022248
68,1.305388124608453
69,1.3052178051548025
70,1.3050470125208464
71,1.3048757453829045
72,1.304704002414046
73,1.3045317822840896
74,1.304359083659597
75,1.3041859052038713
76,1.304012245576956
77,1.3038381034356408
78,1.303663477433449
79,1.3034883662206405
80,1.303312768444214
81,1.3031366827479007
82,1.3029601077721664
83,1.3027830421542097
84,1.3026054845279618
85,1.3024274335240824
86,1.302248887769962
87,1.302069845889723
88,1.301890306504217
89,1.3017102682310204
90,1.3015297296844408
91,1.3013486894755149
92,1.3011671462120085
93,1.3009850984984117
94,1.3008025449359457
95,1.30061948412256
96,1.3004359146529283
97,1.300251835118468
98,1.3000672441073076
99,1.2998821402043175
100,1.2996965219910996
101,1.2995103880459835
102,1.2993237369440374
103,1.2991365672570572
104,1.298948877553581
105,1.2987606663988847
106,1.298571932354976
107,1.2983826739806101
108,1.2981928898312822
109,1.29800257845923
110,1.2978117384134398
111,1.2976203682396483
112,1.2974284664803377
113,1.2972360316747484
114,1.2970430623588731
115,1.2968495570654681
116,1.2966555143240488
117,1.2964609326608918
118,1.2962658105990514
119,1.2960701466583429
120,1.2958739393553587
121,1.2956771872034791
122,1.295479888712855
123,1.295282042390429
124,1.2950836467399351
125,1.2948847002619022
126,1.2946852014536534
127,1.2944851488093245
128,1.2942845408198553
129,1.294083375973
130,1.293881652753331
131,1.293679369642247
132,1.2934765251179763
133,1.293273117655581
134,1.2930691457269694
135,1.2928646078008947
136,1.2926595023429643
137,1.2924538278156472
138,1.2922475826782767
139,1.2920407653870607
140,1.2918333743950943
141,1.2916254081523542
142,1.2914168651057139
143,1.2912077436989546
144,1.2909980423727663
145,1.2907877595647574
146,1.290576893709467
147,1.2903654432383693
148,1.2901534065798825
149,1.2899407821593818
150,1.289727568399203
151,1.2895137637186582
152,1.2892993665340402
153,1.2890843752586343
154,1.2888687883027268
155,1.2886526040736224
156,1.2884358209756432
157,1.288218437410151
158,1.2880004517755512
159,1.2877818624673067
160,1.2875626678779484
161,1.28734286639709
162,1.2871224564114339
163,1.2869014363047964
164,1.2866798044581031
165,1.2864575592494172
166,1.2862346990539395
167,1.286011222244037
168,1.285787127189245
169,1.2855624122562823
170,1.2853370758090699
171,1.2851111162087452
172,1.2848845318136781
173,1.2846573209794798
174,1.2844294820590205
175,1.2842010134024602
176,1.2839719133572332
177,1.2837421802680977
178,1.2835118124771403
179,1.2832808083237817
180,1.283049166144812
181,1.2828168842743963
182,1.2825839610441045
183,1.2823503947829151
184,1.2821161838172481
185,1.281881326470976
186,1.2816458210654442
187,1.2814096659194962
188,1.281172859349486
189,1.2809353996693125
190,1.2806972851904181
191,1.2804585142218323
192,1.2802190850701856
193,1.2799789960397279
194,1.279738245432354
195,1.279496831547626
196,1.279254752682805
197,1.2790120071328603
198,1.2787685931905044
199,1.278524509146214
200,1.2782797532882577
