iter,rel_res
0,1.0
1,0.008034441740973517
2,0.0027701960222904125
3,0.0012866500984224448
4,0.0007081427819785653
5,0.0004719483866262449
6,0.00036034619744772966
7,0.00029174336769858834
8,0.0002395923782755199
9,0.0001961239576665914
10,0.00015912167252953857
11,0.00012781206510510852
12,0.00010168613301461225
13,8.021067565091273e-05
14,6.280070203553192e-05
15,4.88560353399029e-05
16,3.780128267405973e-05
17,2.9113224583642933e-05
18,2.2334693320324993e-05
19,1.7078133221503404e-05
20,1.3022559375089695e-05
21,9.906907144910384e-06
22,7.52188080509478e-06
23,5.701604732738529e-06
24,4.315832768176108e-06
25,3.263062927884919e-06
26,2.4646831990458093e-06
27,1.8601152673001986e-06
28,1.40287813002916e-06
29,1.0574250495435404e-06
30,7.966544027935746e-07
31,5.999511413237983e-07
32,4.5166384491709954e-07
33,3.399328756416869e-07
34,2.5578195355625116e-07
35,1.9242582679474733e-07
36,1.447394089805611e-07
37,1.0885672643507365e-07
38,8.186050674228969e-08
39,6.155419271714997e-08
40,4.628130336328481e-08
41,3.479617000659554e-08
42,2.6159575550540933e-08
43,1.9666461294396757e-08
44,1.4784826496204782e-08
45,1.1114363276518364e-08
46,8.355640495449714e-09
