iter,rel_res
0,1.0
1,0.2268365371597034
2,0.04374022201460349
3,0.011347997444289474
4,0.004237779457712825
5,0.0017148470654725868
6,0.000765310480279439
7,0.00033590730299298377
8,0.00014984165347143127
9,6.665615135161785e-05
10,2.9252916766915705e-05
11,1.2979609154902412e-05
12,5.633055819072309e-06
13,2.4629613899733247e-06
14,1.0695672671440566e-06
15,4.5803694454626147e-07
16,1.9837469878099216e-07
17,8.431995788746143e-08
18,3.5868721326004633e-08
19,1.5296960802363287e-08
20,6.401585083094237e-09
