N,Iters,CPU Time(s),Error e_N,InitialRelRes,FinalRelRes,ResidualFile
64,33,1.0757839679718018,0.04374824475752055,1.0,9.65395696235926e-09,residuals_uzawa_N64.csv
128,36,25.49146342277527,0.02205081690195892,1.0,8.751492078926771e-09,residuals_uzawa_N128.csv
