iter,rel_res
0,8741.243938647764
1,1.3650540395818285
2,0.47825370227884983
3,0.30201925491314674
4,0.14894047839773977
5,0.08774178240811899
6,0.04749635815385846
7,0.02722292985153626
8,0.015169119126139528
9,0.008622792022201847
10,0.004861038780031424
11,0.002764027944027315
12,0.0015717497339275892
13,0.0009006340442921839
14,0.0005204257987279952
15,0.00030603953710397217
16,0.00018531071219035766
17,0.00011783428717694284
18,8.03500717058709e-05
19,5.945875405344181e-05
20,4.745543433662811e-05
21,4.0114291079104046e-05
22,3.525034918525968e-05
23,3.177021863309384e-05
24,2.911682560521457e-05
25,2.698974719632465e-05
26,2.521532378800389e-05
27,2.3687034847785395e-05
28,2.233677272587985e-05
29,2.111981182765727e-05
30,2.0006239071998788e-05
31,1.8975736100159773e-05
32,1.8014271260916192e-05
33,1.7111957959027387e-05
34,1.6261655117754487e-05
35,1.5458049428656057e-05
36,1.4697052937245137e-05
37,1.3975407500551719e-05
38,1.3290424899485228e-05
39,1.2639815838329402e-05
40,1.2021577105857074e-05
41,1.1433916772179817e-05
42,1.0875204256802615e-05
43,1.0343936656234959e-05
44,9.838715723932652e-06
45,9.358231836915341e-06
46,8.901252558188879e-06
47,8.466614244770639e-06
48,8.053215677705966e-06
49,7.66001305447374e-06
50,7.286015913363149e-06
