N,Iters,CPU(s),Error,alpha,tau,eps,nu1,nu2,L,InitialRelRes,FinalRelRes,ResidualFile,PCG_Iters
64,4,3.3645412921905518,0.0014950800515370483,1.0,0.001,1e-08,2,2,6,1.0,5.736912433437212e-09,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha1_nu2_L2_N64.csv,"4,2,1,1"
128,4,0.05353140830993652,0.0003736320650865274,1.0,0.001,1e-08,2,2,7,1.0,5.37679555827287e-09,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha1_nu2_L2_N128.csv,"5,2,2,1"
256,3,0.14107465744018555,9.339857987696534e-05,1.0,0.001,1e-08,2,2,8,1.0,8.147575297698257e-09,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha1_nu2_L2_N256.csv,"6,3,1"
512,4,0.7660882472991943,2.3349430680634642e-05,1.0,0.001,1e-08,2,2,9,1.0,8.583533087216371e-10,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha1_nu2_L2_N512.csv,"9,3,1,1"
1024,4,8.407736778259277,5.837973938948787e-06,1.0,0.001,1e-08,2,2,10,1.0,1.216522265446315e-09,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha1_nu2_L2_N1024.csv,"22,3,1,1"
2048,4,149.10896968841553,1.460745012030221e-06,1.0,0.001,1e-08,2,2,11,1.0,2.3185022255482136e-09,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha1_nu2_L2_N2048.csv,"120,3,2,1"
