N,V-Cycles,CPU Time(s),Error e_N,nu1,nu2,L,InitialRelRes,FinalRelRes,ResidualFile
64,14,0.021027326583862305,0.0014950837212146112,4,4,5,1.0,8.50031873434356e-09,residuals_v_cycle_nu4_L4_N64.csv
128,15,0.055495262145996094,0.0003736371409933307,4,4,6,1.0,9.724456557675987e-09,residuals_v_cycle_nu4_L4_N128.csv
256,16,0.2249605655670166,9.339864671994397e-05,4,4,7,1.0,5.993516532531104e-09,residuals_v_cycle_nu4_L4_N256.csv
512,16,1.0780112743377686,2.334990342838833e-05,4,4,8,1.0,7.35648748587459e-09,residuals_v_cycle_nu4_L4_N512.csv
1024,16,7.333701848983765,5.84066936354613e-06,4,4,9,1.0,7.24939315727906e-09,residuals_v_cycle_nu4_L4_N1024.csv
2048,16,29.354809999465942,1.4824066052128502e-06,4,4,10,1.0,7.719402354911848e-09,residuals_v_cycle_nu4_L4_N2048.csv
