iter,rel_res
0,1.0
1,0.0061611438195350796
2,0.0018712537669928545
3,0.0009589740058683787
4,0.000604425504035567
5,0.000442197909252807
6,0.0003547693724472019
7,0.0002982062107441596
8,0.0002549387871529129
9,0.0002181043864588054
10,0.00018530455471647028
11,0.00015588849261131895
12,0.00012976845252278912
13,0.00010693886096869025
14,8.731477772460153e-05
15,7.070628460511713e-05
16,5.684273502518949e-05
17,4.5408468888268215e-05
18,3.607462920877667e-05
19,2.8522431943923523e-05
20,2.245783425718313e-05
21,1.7619227790656697e-05
22,1.3780108884714918e-05
23,1.0748462039384232e-05
24,8.364204919991859e-06
25,6.4956605707989946e-06
26,5.035698391786245e-06
27,3.897942923979437e-06
28,3.0132747525658717e-06
29,2.326727111082977e-06
30,1.7948249745540694e-06
31,1.3833302443621523e-06
32,1.06538492634417e-06
33,8.199874386811431e-07
34,6.307615269414551e-07
35,4.849681138513975e-07
36,3.727174312150763e-07
37,2.863442930248174e-07
38,2.1991819861219306e-07
39,1.688558821977048e-07
40,1.296194655555634e-07
41,9.948023076121117e-08
42,7.63359446082543e-08
43,5.856738800398222e-08
44,4.4928931220262804e-08
45,3.446291039133056e-08
46,2.6432061305998554e-08
47,2.0271518491313295e-08
48,1.5545727084198742e-08
49,1.1921165799340442e-08
50,9.141534554323631e-09
