N,Iters,CPU(s),Error,alpha,tau,eps,nu1,nu2,L,InitialRelRes,FinalRelRes,ResidualFile,PCG_Iters
64,2,0.022810935974121094,0.00149508088681822,1.0,1e-05,1e-08,4,4,5,1.0,1.7427253704082485e-09,residuals_inexact_uzawa_tau1e-5_eps1e-8_alpha1_nu4_L4_N64.csv,"5,3"
128,2,0.09616827964782715,0.00037363610460609353,1.0,1e-05,1e-08,4,4,6,1.0,6.647210301887074e-09,residuals_inexact_uzawa_tau1e-5_eps1e-8_alpha1_nu4_L4_N128.csv,"6,3"
256,3,0.2723722457885742,9.339871682949138e-05,1.0,1e-05,1e-08,4,4,7,1.0,6.147489870351849e-09,residuals_inexact_uzawa_tau1e-5_eps1e-8_alpha1_nu4_L4_N256.csv,"8,3,1"
512,2,1.467048168182373,2.3349477973978765e-05,1.0,1e-05,1e-08,4,4,8,1.0,2.000192342529523e-09,residuals_inexact_uzawa_tau1e-5_eps1e-8_alpha1_nu4_L4_N512.csv,"11,4"
1024,2,9.89536714553833,5.837852541085272e-06,1.0,1e-05,1e-08,4,4,9,1.0,2.781295472580231e-09,residuals_inexact_uzawa_tau1e-5_eps1e-8_alpha1_nu4_L4_N1024.csv,"18,4"
2048,2,85.44993209838867,1.4623919202680631e-06,1.0,1e-05,1e-08,4,4,10,1.0,4.964270310533404e-09,residuals_inexact_uzawa_tau1e-5_eps1e-8_alpha1_nu4_L4_N2048.csv,"42,4"
