N,V-Cycles,CPU Time(s),Error e_N,nu1,nu2,L,InitialRelRes,FinalRelRes,ResidualFile
64,14,0.022147178649902344,0.0014950837212146112,4,4,6,1.0,8.50031873434356e-09,residuals_v_cycle_nu4_L2_N64.csv
128,15,0.06232857704162598,0.0003736371409933307,4,4,7,1.0,9.724456557675987e-09,residuals_v_cycle_nu4_L2_N128.csv
256,16,0.23450112342834473,9.339864671994397e-05,4,4,8,1.0,5.993516532531104e-09,residuals_v_cycle_nu4_L2_N256.csv
512,16,1.1485297679901123,2.334990342838833e-05,4,4,9,1.0,7.35648748587459e-09,residuals_v_cycle_nu4_L2_N512.csv
1024,16,7.229197025299072,5.84066936354613e-06,4,4,10,1.0,7.24939315727906e-09,residuals_v_cycle_nu4_L2_N1024.csv
2048,16,28.268199920654297,1.4824066052128502e-06,4,4,11,1.0,7.719402354911848e-09,residuals_v_cycle_nu4_L2_N2048.csv
