iter,rel_res
0,1.0
1,0.35456615653500434
2,0.1386964738922296
3,0.05872549325459208
4,0.02634093340212969
5,0.011358822476462319
6,0.005038063600512236
7,0.002235752354465735
8,0.0009811123540084943
9,0.0004369835415418608
10,0.00019544940362716527
11,8.602351003147896e-05
12,3.885537655263806e-05
13,1.7583027595785792e-05
14,7.800352173351785e-06
15,3.5712885031912396e-06
16,1.6468155427648393e-06
17,7.382505412628967e-07
18,3.4196709610378227e-07
19,1.6057013786235975e-07
20,7.279032123360383e-08
21,3.396177807247955e-08
22,1.6114108414914145e-08
23,7.375296250286469e-09
