N,Iters,CPU(s),Error,alpha,tau,eps,nu1,nu2,L,InitialRelRes,FinalRelRes,ResidualFile,PCG_Iters
64,2,0.015569448471069336,0.00149508088681822,1.0,0.0001,1e-08,4,4,5,1.0,1.7427253704082485e-09,residuals_inexact_uzawa_tau1e-4_eps1e-8_alpha1_nu4_L4_N64.csv,"5,3"
128,2,0.09937691688537598,0.00037363610460609353,1.0,0.0001,1e-08,4,4,6,1.0,6.647210301887074e-09,residuals_inexact_uzawa_tau1e-4_eps1e-8_alpha1_nu4_L4_N128.csv,"6,3"
256,3,0.3699958324432373,9.339871682949138e-05,1.0,0.0001,1e-08,4,4,7,1.0,6.147489870351849e-09,residuals_inexact_uzawa_tau1e-4_eps1e-8_alpha1_nu4_L4_N256.csv,"8,3,1"
512,3,1.41495680809021,2.3349557076479523e-05,1.0,0.0001,1e-08,4,4,8,1.0,7.95611499209527e-09,residuals_inexact_uzawa_tau1e-4_eps1e-8_alpha1_nu4_L4_N512.csv,"11,3,1"
1024,3,9.947334051132202,5.838034774293587e-06,1.0,0.0001,1e-08,4,4,9,1.0,7.794322046354391e-09,residuals_inexact_uzawa_tau1e-4_eps1e-8_alpha1_nu4_L4_N1024.csv,"18,3,1"
2048,3,84.69985246658325,1.460926335542028e-06,1.0,0.0001,1e-08,4,4,10,1.0,6.454752570216346e-09,residuals_inexact_uzawa_tau1e-4_eps1e-8_alpha1_nu4_L4_N2048.csv,"42,3,1"
