N,V-Cycles,CPU Time(s),Error e_N,nu1,nu2,L,InitialRelRes,FinalRelRes,ResidualFile
64,12,0.568244457244873,0.0014950749922265749,6,6,6,1.0,5.847947279066648e-09,residuals_v_cycle_nu6_L2_N64.csv
128,13,0.0915062427520752,0.0003736291173058182,6,6,7,1.0,5.730820001137383e-09,residuals_v_cycle_nu6_L2_N128.csv
256,14,0.3178517818450928,9.340193677535119e-05,6,6,8,1.0,3.0478358622149844e-09,residuals_v_cycle_nu6_L2_N256.csv
512,14,1.3606109619140625,2.335469501157321e-05,6,6,9,1.0,3.803862412563653e-09,residuals_v_cycle_nu6_L2_N512.csv
1024,14,8.352030754089355,5.844903390040244e-06,6,6,10,1.0,3.769310828973748e-09,residuals_v_cycle_nu6_L2_N1024.csv
2048,14,30.97629475593567,1.4705975941365852e-06,6,6,11,1.0,3.3293487361487427e-09,residuals_v_cycle_nu6_L2_N2048.csv
