N,Iters,CPU(s),Error,alpha,tau,eps,nu1,nu2,L,InitialRelRes,FinalRelRes,ResidualFile,PCG_Iters
64,6,0.0171506404876709,0.0014950791670858918,1.05,0.001,1e-08,2,2,6,1.0,2.890269258997157e-09,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha1p05_nu2_L2_N64.csv,"4,2,2,2,1,1"
128,6,0.06896853446960449,0.00037362907460459133,1.05,0.001,1e-08,2,2,7,1.0,2.4216345540671547e-09,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha1p05_nu2_L2_N128.csv,"5,2,2,2,1,1"
256,6,0.297929048538208,9.339854137167286e-05,1.05,0.001,1e-08,2,2,8,1.0,2.1959147890476204e-09,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha1p05_nu2_L2_N256.csv,"6,3,3,2,1,1"
512,5,1.2593483924865723,2.3354193365478652e-05,1.05,0.001,1e-08,2,2,9,1.0,9.014565811566912e-09,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha1p05_nu2_L2_N512.csv,"9,3,3,2,1"
1024,5,10.234066486358643,5.8437504226928965e-06,1.05,0.001,1e-08,2,2,10,1.0,6.472498828733858e-09,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha1p05_nu2_L2_N1024.csv,"22,3,3,2,1"
2048,5,161.36269164085388,1.471708784552656e-06,1.05,0.001,1e-08,2,2,11,1.0,4.698878042335477e-09,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha1p05_nu2_L2_N2048.csv,"120,3,3,2,1"
