N,Iters,CPU(s),Error,alpha,tau,eps,nu1,nu2,L,InitialRelRes,FinalRelRes,ResidualFile,PCG_Iters
64,6,0.042032718658447266,0.0014950790430603516,0.95,0.001,1e-08,2,2,6,1.0,1.988590076175067e-09,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha0p95_nu2_L2_N64.csv,"4,2,2,2,1,1"
128,6,0.12092256546020508,0.00037362880437898137,0.95,0.001,1e-08,2,2,7,1.0,1.653564999682044e-09,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha0p95_nu2_L2_N128.csv,"5,2,2,2,1,1"
256,5,0.3337733745574951,9.33943713137275e-05,0.95,0.001,1e-08,2,2,8,1.0,9.785325004886337e-09,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha0p95_nu2_L2_N256.csv,"6,3,3,2,1"
512,5,1.2456848621368408,2.3345306412394112e-05,0.95,0.001,1e-08,2,2,9,1.0,7.052375784686207e-09,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha0p95_nu2_L2_N512.csv,"9,3,3,2,1"
1024,5,10.005668878555298,5.835382106985606e-06,0.95,0.001,1e-08,2,2,10,1.0,5.109003512723782e-09,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha0p95_nu2_L2_N1024.csv,"22,3,3,2,1"
2048,5,158.26847410202026,1.4646884408734237e-06,0.95,0.001,1e-08,2,2,11,1.0,3.788460406345361e-09,residuals_inexact_uzawa_tau1e-3_eps1e-8_alpha0p95_nu2_L2_N2048.csv,"120,3,3,2,1"
